signal,threshold,strategy,lead_months,lookback,is_sharpe,oos_sharpe,oos_sortino,oos_calmar,oos_ann_return,oos_ann_vol,max_drawdown,win_rate,n_trades,annual_turnover,oos_n,valid
level,T1_fixed_p25,P1_long_cash_pro,2,LB_NA,0.7122,0.5127,0.7016,0.3433,0.0822,0.1602,-0.2393,0.4353,19,2.68,85,True
level,T1_fixed_p25,P1_long_cash_counter,2,LB_NA,0.0298,0.9927,1.0705,1.2398,0.0691,0.0696,-0.0557,0.2235,19,2.68,85,True
level,T1_fixed_p25,P3_long_short_pro,2,LB_NA,0.518,0.0737,0.1344,0.0387,0.0131,0.1774,-0.3373,0.4941,19,2.68,85,False
level,T1_fixed_p25,P3_long_short_counter,2,LB_NA,-0.518,-0.0737,-0.1328,-0.0275,-0.0131,0.1774,-0.4754,0.5059,19,2.68,85,False
level,T1_fixed_p50,P1_long_cash_pro,2,LB_NA,0.8945,0.2014,0.2596,0.1237,0.0296,0.1469,-0.2393,0.2941,13,1.84,85,False
level,T1_fixed_p50,P1_long_cash_counter,2,LB_NA,0.1223,1.3134,1.803,1.461,0.1216,0.0926,-0.0833,0.3647,13,1.84,85,True
level,T1_fixed_p50,P3_long_short_pro,2,LB_NA,0.3431,-0.5247,-0.9984,-0.1689,-0.092,0.1754,-0.5448,0.4353,13,1.84,85,False
level,T1_fixed_p50,P3_long_short_counter,2,LB_NA,-0.3431,0.5247,0.8815,0.2549,0.092,0.1754,-0.3611,0.5647,13,1.84,85,True
level,T1_fixed_p75,P1_long_cash_pro,2,LB_NA,0.6746,0.3786,0.416,0.2126,0.0425,0.1122,-0.1998,0.2,13,1.84,85,True
level,T1_fixed_p75,P1_long_cash_counter,2,LB_NA,0.3587,0.8163,0.9744,0.5592,0.1088,0.1332,-0.1945,0.4588,13,1.84,85,True
level,T1_fixed_p75,P3_long_short_pro,2,LB_NA,-0.1247,-0.3758,-0.7944,-0.1084,-0.0663,0.1764,-0.6115,0.4353,13,1.84,85,False
level,T1_fixed_p75,P3_long_short_counter,2,LB_NA,0.1247,0.3758,0.5804,0.1443,0.0663,0.1764,-0.4593,0.5647,13,1.84,85,True
level,T2_roll_p25,P1_long_cash_pro,2,LB36,0.6693,0.2422,0.2893,0.163,0.0346,0.1428,-0.2122,0.3059,14,1.98,85,False
level,T2_roll_p25,P1_long_cash_counter,2,LB36,0.1229,1.1751,1.4451,1.4011,0.1167,0.0993,-0.0833,0.3529,14,1.98,85,True
level,T2_roll_p25,P2_signal_strength_pro,2,LB36,0.6217,0.5289,0.7102,0.3338,0.0556,0.1052,-0.1666,0.6235,78,11.01,85,True
level,T2_roll_p25,P2_signal_strength_counter,2,LB36,0.2401,1.0577,1.4856,0.7489,0.0956,0.0904,-0.1277,0.6,78,11.01,85,True
level,T2_roll_p25,P3_long_short_pro,2,LB36,0.3791,-0.4667,-0.8625,-0.1462,-0.0821,0.1759,-0.5614,0.4353,14,1.98,85,False
level,T2_roll_p25,P3_long_short_counter,2,LB36,-0.3791,0.4667,0.8101,0.2273,0.0821,0.1759,-0.3611,0.5647,14,1.98,85,True
level,T2_roll_p75,P1_long_cash_pro,2,LB36,0.6309,0.233,0.164,0.1923,0.0169,0.0727,-0.088,0.1176,7,0.99,85,False
level,T2_roll_p75,P1_long_cash_counter,2,LB36,0.3044,0.8551,1.1988,0.6633,0.1343,0.1571,-0.2025,0.5412,7,0.99,85,True
level,T2_roll_p75,P2_signal_strength_pro,2,LB36,0.6217,0.5289,0.7102,0.3338,0.0556,0.1052,-0.1666,0.6235,78,11.01,85,True
level,T2_roll_p75,P2_signal_strength_counter,2,LB36,0.2401,1.0577,1.4856,0.7489,0.0956,0.0904,-0.1277,0.6,78,11.01,85,True
level,T2_roll_p75,P3_long_short_pro,2,LB36,0.0097,-0.674,-1.2403,-0.1926,-0.1174,0.1742,-0.6096,0.4,7,0.99,85,False
level,T2_roll_p75,P3_long_short_counter,2,LB36,-0.0097,0.674,1.1441,0.4302,0.1174,0.1742,-0.2729,0.6,7,0.99,85,True
level,T3_zscore_1.0,P1_long_cash_pro,2,LB36,0.6155,0.1488,0.1019,0.1195,0.0105,0.0707,-0.088,0.1059,5,0.71,85,False
level,T3_zscore_1.0,P1_long_cash_counter,2,LB36,0.3595,0.8933,1.256,0.695,0.1407,0.1575,-0.2025,0.5529,5,0.71,85,True
level,T3_zscore_1.0,P2_signal_strength_pro,2,LB36,0.6217,0.5289,0.7102,0.3338,0.0556,0.1052,-0.1666,0.6235,78,11.01,85,True
level,T3_zscore_1.0,P2_signal_strength_counter,2,LB36,0.2401,1.0577,1.4856,0.7489,0.0956,0.0904,-0.1277,0.6,78,11.01,85,True
level,T3_zscore_1.0,P3_long_short_pro,2,LB36,-0.1169,-0.7509,-1.3894,-0.2023,-0.1302,0.1734,-0.6435,0.3882,5,0.71,85,False
level,T3_zscore_1.0,P3_long_short_counter,2,LB36,0.1169,0.7509,1.2501,0.4772,0.1302,0.1734,-0.2729,0.6118,5,0.71,85,True
level,T3_zscore_neg_1.0,P1_long_cash_pro,2,LB36,-0.0828,1.3209,1.3227,1.8914,0.0897,0.0679,-0.0474,0.2235,26,3.67,85,True
level,T3_zscore_neg_1.0,P1_long_cash_counter,2,LB36,0.7383,0.3824,0.5524,0.2571,0.0615,0.1609,-0.2393,0.4353,26,3.67,85,True
level,T3_zscore_neg_1.0,P2_signal_strength_pro,2,LB36,0.6217,0.5289,0.7102,0.3338,0.0556,0.1052,-0.1666,0.6235,78,11.01,85,True
level,T3_zscore_neg_1.0,P2_signal_strength_counter,2,LB36,0.2401,1.0577,1.4856,0.7489,0.0956,0.0904,-0.1277,0.6,78,11.01,85,True
level,T3_zscore_neg_1.0,P3_long_short_pro,2,LB36,-0.6553,0.1591,0.2775,0.0778,0.0282,0.1773,-0.3626,0.5176,26,3.67,85,False
level,T3_zscore_neg_1.0,P3_long_short_counter,2,LB36,0.6553,-0.1591,-0.2988,-0.0866,-0.0282,0.1773,-0.3256,0.4824,26,3.67,85,False
level,T3_zscore_1.5,P1_long_cash_pro,2,LB36,0.445,-0.1312,-0.1278,-0.0934,-0.0082,0.0627,-0.088,0.0706,7,0.99,85,False
level,T3_zscore_1.5,P1_long_cash_counter,2,LB36,0.4691,1.0002,1.4214,0.7841,0.1595,0.1594,-0.2034,0.5882,7,0.99,85,True
level,T3_zscore_1.5,P2_signal_strength_pro,2,LB36,0.6217,0.5289,0.7102,0.3338,0.0556,0.1052,-0.1666,0.6235,78,11.01,85,True
level,T3_zscore_1.5,P2_signal_strength_counter,2,LB36,0.2401,1.0577,1.4856,0.7489,0.0956,0.0904,-0.1277,0.6,78,11.01,85,True
level,T3_zscore_1.5,P3_long_short_pro,2,LB36,-0.3577,-0.9826,-1.8341,-0.2353,-0.1677,0.1706,-0.7125,0.3647,7,0.99,85,False
level,T3_zscore_1.5,P3_long_short_counter,2,LB36,0.3577,0.9826,1.5586,0.8282,0.1677,0.1706,-0.2025,0.6353,7,0.99,85,True
level,T3_zscore_neg_1.5,P1_long_cash_pro,2,LB36,0.1559,0.67,0.3906,0.9414,0.0237,0.0353,-0.0251,0.0588,10,1.41,85,True
level,T3_zscore_neg_1.5,P1_long_cash_counter,2,LB36,0.5404,0.7514,1.1711,0.5331,0.1276,0.1698,-0.2393,0.6,10,1.41,85,True
level,T3_zscore_neg_1.5,P2_signal_strength_pro,2,LB36,0.6217,0.5289,0.7102,0.3338,0.0556,0.1052,-0.1666,0.6235,78,11.01,85,True
level,T3_zscore_neg_1.5,P2_signal_strength_counter,2,LB36,0.2401,1.0577,1.4856,0.7489,0.0956,0.0904,-0.1277,0.6,78,11.01,85,True
