signal,threshold,strategy,lead_days,oos_sharpe,oos_ann_return,max_drawdown,annual_turnover,oos_n,valid
S2_z252,T2_rp50,P1,1,0.8098,7.74,-12.26,27.2,1566,False
S2_z252,T2_rp50,P2,1,0.9017,9.77,-17.75,14.97,1566,True
S2_z252,T2_rp50,P3,1,-0.0104,-0.21,-42.43,54.41,1566,False
S2_z252,T2_rp75,P1,1,0.8852,11.18,-25.42,20.69,1566,True
S2_z252,T2_rp75,P2,1,0.9017,9.77,-17.75,14.97,1566,True
S2_z252,T2_rp75,P3,1,0.328,6.68,-34.98,41.39,1566,False
S2_z252,T1_p25,P1,5,0.6557,4.13,-10.75,25.88,1566,False
S2_z252,T1_p25,P2,5,0.9337,10.49,-19.19,14.98,1566,True
S2_z252,T1_p25,P3,5,-0.3645,-7.43,-60.38,51.76,1566,False
S2_z252,T1_p50,P1,5,0.7252,6.84,-15.73,29.85,1566,False
S2_z252,T1_p50,P2,5,0.9337,10.49,-19.19,14.98,1566,True
S2_z252,T1_p50,P3,5,-0.0982,-2.0,-44.41,59.69,1566,False
S2_z252,T1_p75,P1,5,0.594,7.36,-28.64,22.32,1566,True
S2_z252,T1_p75,P2,5,0.9337,10.49,-19.19,14.98,1566,True
S2_z252,T1_p75,P3,5,-0.047,-0.96,-40.8,44.64,1566,False
S2_z252,T2_rp25,P1,5,0.6017,4.04,-10.38,27.81,1566,False
S2_z252,T2_rp25,P2,5,0.9337,10.49,-19.19,14.98,1566,True
S2_z252,T2_rp25,P3,5,-0.3734,-7.61,-60.76,55.63,1566,False
S2_z252,T2_rp50,P1,5,1.0459,10.32,-12.4,27.2,1566,False
S2_z252,T2_rp50,P2,5,0.9337,10.49,-19.19,14.98,1566,True
S2_z252,T2_rp50,P3,5,0.2433,4.96,-29.37,54.41,1566,False
S2_z252,T2_rp75,P1,5,0.4537,6.1,-31.89,20.69,1566,True
S2_z252,T2_rp75,P2,5,0.9337,10.49,-19.19,14.98,1566,True
S2_z252,T2_rp75,P3,5,-0.171,-3.49,-50.56,41.39,1566,False
S2_z252,T1_p25,P1,21,0.4362,2.98,-9.44,25.68,1566,False
S2_z252,T1_p25,P2,21,0.6854,7.91,-17.46,15.0,1566,True
S2_z252,T1_p25,P3,21,-0.4779,-9.73,-66.16,51.36,1566,False
S2_z252,T1_p50,P1,21,0.7573,7.7,-13.12,30.05,1566,False
S2_z252,T1_p50,P2,21,0.6854,7.91,-17.46,15.0,1566,True
S2_z252,T1_p50,P3,21,-0.0142,-0.29,-50.49,60.1,1566,False
S2_z252,T1_p75,P1,21,0.4629,6.61,-32.35,22.22,1566,True
S2_z252,T1_p75,P2,21,0.6854,7.91,-17.46,15.0,1566,True
S2_z252,T1_p75,P3,21,-0.1212,-2.47,-57.61,44.44,1566,False
S2_z252,T2_rp25,P1,21,-0.0566,-0.43,-15.22,27.61,1566,False
S2_z252,T2_rp25,P2,21,0.6854,7.91,-17.46,15.0,1566,True
S2_z252,T2_rp25,P3,21,-0.8131,-16.55,-76.4,55.22,1566,False
S2_z252,T2_rp50,P1,21,0.4098,4.27,-20.61,27.1,1566,False
S2_z252,T2_rp50,P2,21,0.6854,7.91,-17.46,15.0,1566,True
S2_z252,T2_rp50,P3,21,-0.3506,-7.14,-65.82,54.2,1566,False
S2_z252,T2_rp75,P1,21,0.8464,12.19,-24.42,20.69,1566,True
S2_z252,T2_rp75,P2,21,0.6854,7.91,-17.46,15.0,1566,True
S2_z252,T2_rp75,P3,21,0.4268,8.7,-35.95,41.39,1566,False
S2_z252,T1_p25,P1,63,0.0312,0.38,-30.51,25.42,1566,False
S2_z252,T1_p25,P2,63,0.6287,8.95,-28.84,15.02,1566,True
S2_z252,T1_p25,P3,63,-0.7329,-14.92,-68.62,50.85,1566,False
S2_z252,T1_p50,P1,63,0.5905,8.83,-29.93,29.34,1566,False
S2_z252,T1_p50,P2,63,0.6287,8.95,-28.84,15.02,1566,True
S2_z252,T1_p50,P3,63,0.0971,1.98,-29.29,58.68,1566,False
S2_z252,T1_p75,P1,63,0.7455,13.1,-33.72,21.61,1566,True
S2_z252,T1_p75,P2,63,0.6287,8.95,-28.84,15.02,1566,True
S2_z252,T1_p75,P3,63,0.5162,10.51,-33.79,43.22,1566,False
S2_z252,T2_rp25,P1,63,-0.1211,-1.47,-30.51,27.46,1566,False
S2_z252,T2_rp25,P2,63,0.6287,8.95,-28.84,15.02,1566,True
S2_z252,T2_rp25,P3,63,-0.9158,-18.63,-75.51,54.92,1566,False
S2_z252,T2_rp50,P1,63,0.4981,7.56,-29.93,26.69,1566,False
S2_z252,T2_rp50,P2,63,0.6287,8.95,-28.84,15.02,1566,True
S2_z252,T2_rp50,P3,63,-0.0282,-0.58,-42.48,53.39,1566,False
S2_z252,T2_rp75,P1,63,0.6219,11.33,-33.72,20.39,1566,True
S2_z252,T2_rp75,P2,63,0.6287,8.95,-28.84,15.02,1566,True
S2_z252,T2_rp75,P3,63,0.3419,6.97,-33.72,40.78,1566,False
S2_z252,T1_p25,P1,126,0.3426,4.18,-23.34,25.17,1566,False
S2_z252,T1_p25,P2,126,0.5692,8.46,-29.8,15.13,1566,True
S2_z252,T1_p25,P3,126,-0.3592,-7.32,-53.64,50.34,1566,False
S2_z252,T1_p50,P1,126,0.5685,8.49,-28.32,29.44,1566,False
S2_z252,T1_p50,P2,126,0.5692,8.46,-29.8,15.13,1566,True
S2_z252,T1_p50,P3,126,0.0633,1.29,-35.82,58.88,1566,False
S2_z252,T1_p75,P1,126,0.4883,8.41,-33.64,21.2,1566,True
S2_z252,T1_p75,P2,126,0.5692,8.46,-29.8,15.13,1566,True
S2_z252,T1_p75,P3,126,0.0556,1.13,-46.1,42.41,1566,False
S2_z252,T2_rp25,P1,126,0.3933,4.94,-28.47,27.0,1566,False
S2_z252,T2_rp25,P2,126,0.5692,8.46,-29.8,15.13,1566,True
S2_z252,T2_rp25,P3,126,-0.2854,-5.82,-60.56,54.0,1566,False
S2_z252,T2_rp50,P1,126,0.5651,8.46,-28.32,26.49,1566,False
S2_z252,T2_rp50,P2,126,0.5692,8.46,-29.8,15.13,1566,True
S2_z252,T2_rp50,P3,126,0.0608,1.24,-28.32,52.98,1566,False
S2_z252,T2_rp75,P1,126,0.6058,10.58,-33.72,20.39,1566,True
S2_z252,T2_rp75,P2,126,0.5692,8.46,-29.8,15.13,1566,True
S2_z252,T2_rp75,P3,126,0.2687,5.47,-33.72,40.78,1566,False
S2_z252,T1_p25,P1,252,0.8389,7.88,-8.98,23.8,1566,True
S2_z252,T1_p25,P2,252,0.7695,11.37,-27.49,15.24,1566,True
S2_z252,T1_p25,P3,252,0.0034,0.07,-52.04,47.59,1566,False
S2_z252,T1_p50,P1,252,0.4371,6.88,-20.97,28.68,1566,False
S2_z252,T1_p50,P2,252,0.7695,11.37,-27.49,15.24,1566,True
S2_z252,T1_p50,P3,252,-0.0945,-1.93,-45.21,57.36,1566,False
S2_z252,T1_p75,P1,252,0.6504,11.89,-33.72,20.24,1566,True
S2_z252,T1_p75,P2,252,0.7695,11.37,-27.49,15.24,1566,True
S2_z252,T1_p75,P3,252,0.3971,8.09,-33.72,40.47,1566,False
S2_z252,T2_rp25,P1,252,0.5989,7.61,-13.39,26.34,1566,False
S2_z252,T2_rp25,P2,252,0.7695,11.37,-27.49,15.24,1566,True
S2_z252,T2_rp25,P3,252,-0.0233,-0.48,-49.4,52.68,1566,False
S2_z252,T2_rp50,P1,252,0.6373,10.12,-28.14,26.03,1566,False
S2_z252,T2_rp50,P2,252,0.7695,11.37,-27.49,15.24,1566,True
S2_z252,T2_rp50,P3,252,0.2237,4.56,-23.18,52.07,1566,False
S2_z252,T2_rp75,P1,252,0.6738,11.99,-33.72,20.08,1566,True
S2_z252,T2_rp75,P2,252,0.7695,11.37,-27.49,15.24,1566,True
S2_z252,T2_rp75,P3,252,0.4071,8.29,-33.72,40.17,1566,False
S3_z126,T1_p25,P1,0,0.7695,4.16,-6.29,28.53,1566,False
S3_z126,T1_p25,P2,0,0.8719,9.8,-16.39,14.85,1566,True
S3_z126,T1_p25,P3,0,-0.3612,-7.36,-58.62,57.05,1566,False
S3_z126,T1_p50,P1,0,0.5019,4.5,-16.46,32.9,1566,False
S3_z126,T1_p50,P2,0,0.8719,9.8,-16.39,14.85,1566,True
S3_z126,T1_p50,P3,0,-0.3281,-6.69,-58.06,65.8,1566,False
S3_z126,T1_p75,P1,0,1.0278,12.71,-21.86,22.42,1566,True
S3_z126,T1_p75,P2,0,0.8719,9.8,-16.39,14.85,1566,True
S3_z126,T1_p75,P3,0,0.4779,9.73,-28.77,44.85,1566,False
S3_z126,T2_rp25,P1,0,0.6419,3.93,-9.6,27.41,1566,False
S3_z126,T2_rp25,P2,0,0.8719,9.8,-16.39,14.85,1566,True
S3_z126,T2_rp25,P3,0,-0.3842,-7.83,-60.4,54.81,1566,False
S3_z126,T2_rp50,P1,0,0.8941,9.07,-13.83,31.07,1566,False
S3_z126,T2_rp50,P2,0,0.8719,9.8,-16.39,14.85,1566,True
S3_z126,T2_rp50,P3,0,0.1203,2.45,-29.07,62.14,1566,False
S3_z126,T2_rp75,P1,0,1.1295,15.31,-21.15,23.34,1566,True
S3_z126,T2_rp75,P2,0,0.8719,9.8,-16.39,14.85,1566,True
S3_z126,T2_rp75,P3,0,0.7339,14.94,-25.4,46.68,1566,False
S3_z126,T1_p25,P1,1,0.4043,2.31,-9.63,28.53,1566,False
S3_z126,T1_p25,P2,1,0.8648,9.72,-17.62,14.86,1566,True
S3_z126,T1_p25,P3,1,-0.5438,-11.07,-67.69,57.05,1566,False
S3_z126,T1_p50,P1,1,0.4638,4.22,-12.81,32.9,1566,False
S3_z126,T1_p50,P2,1,0.8648,9.72,-17.62,14.86,1566,True
S3_z126,T1_p50,P3,1,-0.3555,-7.24,-63.33,65.8,1566,False
S3_z126,T1_p75,P1,1,0.9371,11.64,-25.54,22.42,1566,True
S3_z126,T1_p75,P2,1,0.8648,9.72,-17.62,14.86,1566,True
S3_z126,T1_p75,P3,1,0.3723,7.58,-41.37,44.85,1566,False
S3_z126,T2_rp25,P1,1,0.22,1.31,-12.96,27.41,1566,False
S3_z126,T2_rp25,P2,1,0.8648,9.72,-17.62,14.86,1566,True
S3_z126,T2_rp25,P3,1,-0.6416,-13.06,-71.23,54.81,1566,False
S3_z126,T2_rp50,P1,1,0.6149,6.35,-14.39,31.07,1566,False
S3_z126,T2_rp50,P2,1,0.8648,9.72,-17.62,14.86,1566,True
S3_z126,T2_rp50,P3,1,-0.1464,-2.98,-49.61,62.14,1566,False
S3_z126,T2_rp75,P1,1,1.0942,14.54,-20.98,23.34,1566,True
S3_z126,T2_rp75,P2,1,0.8648,9.72,-17.62,14.86,1566,True
S3_z126,T2_rp75,P3,1,0.6577,13.39,-24.81,46.68,1566,False
S3_z126,T1_p25,P1,5,0.5603,3.61,-11.47,28.53,1566,False
S3_z126,T1_p25,P2,5,0.9075,10.57,-18.92,14.86,1566,True
S3_z126,T1_p25,P3,5,-0.4154,-8.46,-62.4,57.05,1566,False
S3_z126,T1_p50,P1,5,0.965,9.18,-12.94,32.8,1566,False
S3_z126,T1_p50,P2,5,0.9075,10.57,-18.92,14.86,1566,True
S3_z126,T1_p50,P3,5,0.1309,2.67,-34.3,65.59,1566,False
S3_z126,T1_p75,P1,5,0.5554,7.22,-28.94,22.42,1566,True
