entry_date,exit_date,direction,holding_days,trade_return_pct
2024-09-04,2024-09-05,Cash,1,0.0
2024-09-05,2024-09-06,Long,1,-1.68
2024-09-06,2024-09-09,Cash,3,0.0
2024-09-09,2024-10-03,Long,24,4.24
2024-10-03,2024-10-04,Cash,1,0.0
2024-10-04,2024-10-07,Long,3,-0.9
2024-10-07,2024-10-18,Cash,11,0.0
2024-10-18,2024-10-21,Long,3,-0.16
2024-10-21,2024-11-06,Cash,16,0.0
2024-11-06,2024-12-18,Long,42,-0.81
2024-12-18,2024-12-20,Cash,2,0.0
2024-12-20,2025-02-25,Long,67,0.52
2025-02-25,2025-03-14,Cash,17,0.0
2025-03-14,2025-03-31,Long,17,-0.31
2025-03-31,2025-04-17,Cash,17,0.0
2025-04-17,2025-04-21,Long,4,-2.38
2025-04-21,2025-04-22,Cash,1,0.0
2025-04-22,2025-10-10,Long,171,24.56
2025-10-10,2025-10-23,Cash,13,0.0
2025-10-23,2025-11-04,Long,12,0.52
2025-11-04,2025-11-05,Cash,1,0.0
2025-11-05,2025-11-06,Long,1,-1.07
2025-11-06,2025-11-10,Cash,4,0.0
2025-11-10,2025-11-13,Long,3,-1.38
2025-11-13,2025-11-26,Cash,13,0.0
2025-11-26,2025-12-31,Long,35,1.38
