signal,threshold,strategy,signal_column,lead_days,oos_sharpe,max_drawdown,valid,lead_source
S4_roc5,T2_rp50,P2,vix_ratio_roc_5d,63,0.673,-24.8,True,pipeline
S4_roc5,T2_rp75,P2,vix_ratio_roc_5d,63,0.673,-24.8,True,pipeline
S4_roc5,T1_p25,P2,vix_ratio_roc_5d,126,0.6767,-26.66,True,pipeline
S4_roc5,T1_p50,P2,vix_ratio_roc_5d,126,0.6767,-26.66,True,pipeline
S4_roc5,T1_p75,P2,vix_ratio_roc_5d,126,0.6767,-26.66,True,pipeline
S4_roc5,T2_rp25,P2,vix_ratio_roc_5d,126,0.6767,-26.66,True,pipeline
S4_roc5,T2_rp50,P2,vix_ratio_roc_5d,126,0.6767,-26.66,True,pipeline
S4_roc5,T2_rp75,P2,vix_ratio_roc_5d,126,0.6767,-26.66,True,pipeline
S4_roc5,T1_p25,P2,vix_ratio_roc_5d,252,0.6933,-23.65,True,pipeline
S4_roc5,T1_p50,P2,vix_ratio_roc_5d,252,0.6933,-23.65,True,pipeline
S4_roc5,T1_p75,P2,vix_ratio_roc_5d,252,0.6933,-23.65,True,pipeline
S4_roc5,T2_rp25,P2,vix_ratio_roc_5d,252,0.6933,-23.65,True,pipeline
S4_roc5,T2_rp50,P2,vix_ratio_roc_5d,252,0.6933,-23.65,True,pipeline
S4_roc5,T2_rp75,P2,vix_ratio_roc_5d,252,0.6933,-23.65,True,pipeline
S5_roc21,T1_p25,P2,vix_ratio_roc_21d,0,1.023,-14.51,True,pipeline
S5_roc21,T1_p50,P2,vix_ratio_roc_21d,0,1.023,-14.51,True,pipeline
S5_roc21,T1_p75,P2,vix_ratio_roc_21d,0,1.023,-14.51,True,pipeline
S5_roc21,T2_rp25,P2,vix_ratio_roc_21d,0,1.023,-14.51,True,pipeline
S5_roc21,T2_rp50,P2,vix_ratio_roc_21d,0,1.023,-14.51,True,pipeline
S5_roc21,T2_rp75,P2,vix_ratio_roc_21d,0,1.023,-14.51,True,pipeline
S5_roc21,T1_p25,P2,vix_ratio_roc_21d,1,1.0342,-14.66,True,pipeline
S5_roc21,T1_p50,P2,vix_ratio_roc_21d,1,1.0342,-14.66,True,pipeline
S5_roc21,T1_p75,P2,vix_ratio_roc_21d,1,1.0342,-14.66,True,pipeline
S5_roc21,T2_rp25,P2,vix_ratio_roc_21d,1,1.0342,-14.66,True,pipeline
S5_roc21,T2_rp50,P2,vix_ratio_roc_21d,1,1.0342,-14.66,True,pipeline
S5_roc21,T2_rp75,P2,vix_ratio_roc_21d,1,1.0342,-14.66,True,pipeline
S5_roc21,T1_p25,P2,vix_ratio_roc_21d,5,0.9262,-17.79,True,pipeline
S5_roc21,T1_p50,P2,vix_ratio_roc_21d,5,0.9262,-17.79,True,pipeline
S5_roc21,T1_p75,P2,vix_ratio_roc_21d,5,0.9262,-17.79,True,pipeline
S5_roc21,T2_rp25,P2,vix_ratio_roc_21d,5,0.9262,-17.79,True,pipeline
