signal,threshold,threshold_value,strategy,lead_days,oos_sharpe,oos_ann_return,oos_max_drawdown,annual_turnover,oos_n,valid
gold_copper_roc_63d,T2_p50,0.2018,P1_long_cash,1,0.5579,0.0609,-0.2542,21.89,1566,True
gold_copper_roc_63d,T2_p50,0.2018,P1_long_cash,5,0.6573,0.078,-0.1953,21.72,1566,True
gold_copper_roc_63d,T2_p50,0.2018,P1_long_cash,21,0.9507,0.1166,-0.1676,20.44,1566,True
gold_copper_roc_63d,T2_p50,0.2018,P1_long_cash,63,0.3296,0.0427,-0.4233,20.6,1566,True
gold_copper_roc_63d,T2_p50,0.2018,P1_long_cash,126,0.5816,0.0666,-0.1593,20.44,1566,True
gold_copper_roc_63d,T2_p50,0.2018,P1_long_cash,252,-0.0248,-0.0205,-0.5046,19.31,1566,False
gold_copper_roc_63d,T2_p50,0.2018,P2_long_short,0,0.6466,0.1259,-0.3599,43.77,1566,True
gold_copper_roc_63d,T2_p50,0.2018,P2_long_short,1,-0.0575,-0.0366,-0.5281,43.77,1566,False
gold_copper_roc_63d,T2_p50,0.2018,P2_long_short,5,0.0954,-0.0033,-0.4625,43.45,1566,True
gold_copper_roc_63d,T2_p50,0.2018,P2_long_short,21,0.4112,0.0688,-0.3958,40.87,1566,True
gold_copper_roc_63d,T2_p50,0.2018,P2_long_short,63,-0.1442,-0.055,-0.4643,41.2,1566,False
gold_copper_roc_63d,T2_p50,0.2018,P2_long_short,126,-0.0036,-0.025,-0.4474,40.87,1566,False
gold_copper_roc_63d,T2_p50,0.2018,P2_long_short,252,-0.6962,-0.1635,-0.8196,38.62,1566,False
gold_copper_roc_63d,T3_p75,7.5433,P1_long_cash,0,0.9249,0.1329,-0.2467,9.01,1566,True
gold_copper_roc_63d,T3_p75,7.5433,P1_long_cash,1,0.6024,0.0826,-0.2593,9.01,1566,True
gold_copper_roc_63d,T3_p75,7.5433,P1_long_cash,5,0.562,0.0769,-0.2129,9.01,1566,True
gold_copper_roc_63d,T3_p75,7.5433,P1_long_cash,21,0.7335,0.1052,-0.1849,9.01,1566,True
gold_copper_roc_63d,T3_p75,7.5433,P1_long_cash,63,0.3128,0.043,-0.4233,8.69,1566,True
gold_copper_roc_63d,T3_p75,7.5433,P1_long_cash,126,0.7865,0.113,-0.198,7.89,1566,True
gold_copper_roc_63d,T3_p75,7.5433,P1_long_cash,252,0.294,0.0395,-0.4233,7.89,1566,True
gold_copper_roc_63d,T3_p75,7.5433,P2_long_short,0,0.5693,0.1068,-0.327,18.02,1566,True
gold_copper_roc_63d,T3_p75,7.5433,P2_long_short,1,0.1643,0.0119,-0.3738,18.02,1566,True
gold_copper_roc_63d,T3_p75,7.5433,P2_long_short,5,0.1188,0.0018,-0.47,18.02,1566,True
gold_copper_roc_63d,T3_p75,7.5433,P2_long_short,21,0.3532,0.0552,-0.3958,18.02,1566,True
gold_copper_roc_63d,T3_p75,7.5433,P2_long_short,63,-0.0988,-0.0454,-0.4874,17.38,1566,False
gold_copper_roc_63d,T3_p75,7.5433,P2_long_short,126,0.4142,0.0695,-0.3491,15.77,1566,True
gold_copper_roc_63d,T3_p75,7.5433,P2_long_short,252,-0.1234,-0.0506,-0.5585,15.77,1566,False
gold_copper_roc_126d,T1_p25,-9.8165,P1_long_cash,0,0.8363,0.059,-0.0825,3.54,1566,True
gold_copper_roc_126d,T1_p25,-9.8165,P1_long_cash,1,0.7042,0.0484,-0.0825,3.54,1566,True
gold_copper_roc_126d,T1_p25,-9.8165,P1_long_cash,5,0.6098,0.0411,-0.0845,3.54,1566,True
gold_copper_roc_126d,T1_p25,-9.8165,P1_long_cash,21,0.7346,0.0482,-0.0825,3.54,1566,True
gold_copper_roc_126d,T1_p25,-9.8165,P1_long_cash,63,0.5992,0.0347,-0.0699,3.54,1566,True
gold_copper_roc_126d,T1_p25,-9.8165,P1_long_cash,126,0.215,0.0109,-0.0789,3.22,1566,True
gold_copper_roc_126d,T1_p25,-9.8165,P1_long_cash,252,0.0069,-0.0025,-0.1981,3.22,1566,True
gold_copper_roc_126d,T1_p25,-9.8165,P2_long_short,0,-0.1146,-0.0486,-0.5289,7.08,1566,False
gold_copper_roc_126d,T1_p25,-9.8165,P2_long_short,1,-0.206,-0.0677,-0.5845,7.08,1566,False
gold_copper_roc_126d,T1_p25,-9.8165,P2_long_short,5,-0.2696,-0.0807,-0.6193,7.08,1566,False
