change_date,from_pct,to_pct,delta_pct,side,price,signal_value,threshold,cum_pnl_pct
2021-12-02,0.0,100.0,100.0,BUY,95.4177,-0.3209,-0.0334,2863.8254
2021-12-03,100.0,0.0,-100.0,SELL,95.3057,0.3503,-0.0334,2951.8126
2021-12-06,0.0,100.0,100.0,BUY,96.919,-0.2927,-0.0334,3003.4722
2021-12-10,100.0,0.0,-100.0,SELL,98.2432,0.2676,-0.0334,3086.0695
2021-12-21,0.0,100.0,100.0,BUY,95.8712,-0.077,-0.0334,3149.5246
2021-12-23,100.0,0.0,-100.0,SELL,97.2753,-0.0172,-0.0334,3223.6275
2021-12-27,0.0,100.0,100.0,BUY,98.305,-0.6658,-0.0334,3258.8087
2021-12-30,100.0,0.0,-100.0,SELL,98.6233,0.0562,-0.0334,3317.6337
2021-12-31,0.0,100.0,100.0,BUY,99.0445,-0.2062,-0.0334,3332.2298
2022-01-05,100.0,0.0,-100.0,SELL,99.2504,0.1493,-0.0334,3387.2828
2022-01-06,0.0,100.0,100.0,BUY,99.7091,-0.082,-0.0334,3403.3982
2022-01-10,100.0,0.0,-100.0,SELL,98.5577,0.1472,-0.0334,3418.5974
2022-01-11,0.0,100.0,100.0,BUY,99.1474,-0.0566,-0.0334,3439.651
2022-01-14,100.0,0.0,-100.0,SELL,99.0819,0.0057,-0.0334,3479.9926
2022-01-20,0.0,100.0,100.0,BUY,95.6091,-0.8218,-0.0334,3434.3174
2022-01-24,100.0,0.0,-100.0,SELL,95.2721,0.5338,-0.0334,3357.1131
2022-01-26,0.0,100.0,100.0,BUY,93.5123,-0.5148,-0.0334,3326.9261
2022-01-28,100.0,0.0,-100.0,SELL,93.3252,0.2388,-0.0334,3266.7393
2022-02-01,0.0,100.0,100.0,BUY,95.5998,-0.4974,-0.0334,3313.1939
2022-02-14,100.0,0.0,-100.0,SELL,92.6605,0.2816,-0.0334,3266.4383
2022-02-15,0.0,100.0,100.0,BUY,94.0553,-0.1765,-0.0334,3317.1103
2022-02-16,100.0,0.0,-100.0,SELL,94.5514,0.0716,-0.0334,3368.5451
2022-03-03,0.0,100.0,100.0,BUY,94.1769,-0.5248,-0.0334,3372.3412
2022-03-07,100.0,0.0,-100.0,SELL,91.453,1.0144,-0.0334,3368.5404
2022-03-18,0.0,100.0,100.0,BUY,96.2644,-0.3589,-0.0334,3381.7446
2022-03-24,100.0,0.0,-100.0,SELL,96.81,0.2549,-0.0334,3388.2138
2022-03-29,0.0,100.0,100.0,BUY,98.3409,-0.5391,-0.0334,3420.4904
2022-04-07,100.0,0.0,-100.0,SELL,94.0676,0.0382,-0.0334,3287.1361
2022-06-02,0.0,100.0,100.0,BUY,90.0855,-0.7147,-0.0334,3351.9126
2022-06-09,100.0,0.0,-100.0,SELL,87.9066,0.3084,-0.0334,3401.7914
2022-10-21,0.0,100.0,100.0,BUY,84.0615,-0.1508,-0.0334,3497.9362
2022-10-24,100.0,0.0,-100.0,SELL,85.1799,0.013,-0.0334,3596.7207
