signal,threshold,strategy,lead_months,oos_sharpe,annual_turnover,max_drawdown,oos_ann_return,valid,point_role
S1_level,T3_zscore_neg_1.5,P2_signal_strength_pro,2,0.6596,0.47,-10.83,6.55,True,valid
S1_level,T3_zscore_neg_1.5,P2_signal_strength_counter,2,0.6977,0.47,-5.29,3.14,True,valid
S1_level,T3_zscore_neg_1.5,P3_long_short_pro,2,-0.5268,0.29,-41.02,-6.94,False,invalid
S1_level,T3_zscore_neg_1.5,P3_long_short_counter,2,0.5268,0.29,-17.13,6.94,True,valid
S1_level,T3_zscore_2.0,P1_long_cash_pro,2,0.0,0.14,0.0,0.0,False,invalid
S1_level,T3_zscore_2.0,P1_long_cash_counter,2,0.7437,0.14,-13.29,9.68,True,valid
S1_level,T3_zscore_2.0,P2_signal_strength_pro,2,0.6596,0.47,-10.83,6.55,True,valid
S1_level,T3_zscore_2.0,P2_signal_strength_counter,2,0.6977,0.47,-5.29,3.14,True,valid
S1_level,T3_zscore_2.0,P3_long_short_pro,2,-0.7437,0.29,-51.35,-9.68,False,invalid
S1_level,T3_zscore_2.0,P3_long_short_counter,2,0.7437,0.29,-13.29,9.68,True,valid
S1_level,T3_zscore_neg_2.0,P1_long_cash_pro,2,0.4398,0.14,-1.67,1.41,True,valid
S1_level,T3_zscore_neg_2.0,P1_long_cash_counter,2,0.6518,0.14,-13.29,8.28,True,valid
S1_level,T3_zscore_neg_2.0,P2_signal_strength_pro,2,0.6596,0.47,-10.83,6.55,True,valid
S1_level,T3_zscore_neg_2.0,P2_signal_strength_counter,2,0.6977,0.47,-5.29,3.14,True,valid
S1_level,T3_zscore_neg_2.0,P3_long_short_pro,2,-0.5218,0.29,-40.75,-6.87,False,invalid
S1_level,T3_zscore_neg_2.0,P3_long_short_counter,2,0.5218,0.29,-17.5,6.87,True,valid
S1_level,T1_fixed_p25,P1_long_cash_pro,3,0.7177,0.46,-13.29,9.27,True,valid
S1_level,T1_fixed_p25,P1_long_cash_counter,3,0.2248,0.46,-1.67,0.42,True,valid
S1_level,T1_fixed_p25,P2_signal_strength_pro,3,0.6829,0.47,-10.79,6.78,True,valid
S1_level,T1_fixed_p25,P2_signal_strength_counter,3,0.628,0.47,-5.78,2.9,True,valid
S1_level,T1_fixed_p25,P3_long_short_pro,3,0.6771,0.93,-13.29,8.85,True,valid
S1_level,T1_fixed_p25,P3_long_short_counter,3,-0.6771,0.93,-48.42,-8.85,False,invalid
S1_level,T1_fixed_p50,P1_long_cash_pro,3,0.6905,0.32,-13.29,8.69,True,valid
S1_level,T1_fixed_p50,P1_long_cash_counter,3,0.2798,0.32,-4.5,1.0,True,valid
S1_level,T1_fixed_p50,P2_signal_strength_pro,3,0.6829,0.47,-10.79,6.78,True,valid
S1_level,T1_fixed_p50,P2_signal_strength_counter,3,0.628,0.47,-5.78,2.9,True,valid
S1_level,T1_fixed_p50,P3_long_short_pro,3,0.5857,0.64,-13.29,7.69,True,valid
S1_level,T1_fixed_p50,P3_long_short_counter,3,-0.5857,0.64,-44.05,-7.69,False,invalid
S1_level,T1_fixed_p75,P1_long_cash_pro,3,0.5283,0.54,-13.29,6.04,True,valid
S1_level,T1_fixed_p75,P1_long_cash_counter,3,0.558,0.54,-6.15,3.65,True,valid
S1_level,T1_fixed_p75,P2_signal_strength_pro,3,0.6829,0.47,-10.79,6.78,True,valid
S1_level,T1_fixed_p75,P2_signal_strength_counter,3,0.628,0.47,-5.78,2.9,True,valid
S1_level,T1_fixed_p75,P3_long_short_pro,3,0.1794,1.07,-27.47,2.39,True,valid
S1_level,T1_fixed_p75,P3_long_short_counter,3,-0.1794,1.07,-29.71,-2.39,False,invalid
S1_level,T2_roll_p25,P1_long_cash_pro,3,0.5576,0.32,-13.29,6.56,True,valid
S1_level,T2_roll_p25,P1_long_cash_counter,3,0.5309,0.32,-6.15,3.13,True,valid
S1_level,T2_roll_p25,P2_signal_strength_pro,3,0.6829,0.47,-10.79,6.78,True,valid
S1_level,T2_roll_p25,P2_signal_strength_counter,3,0.628,0.47,-5.78,2.9,True,valid
S1_level,T2_roll_p25,P3_long_short_pro,3,0.2582,0.64,-26.87,3.43,True,valid
S1_level,T2_roll_p25,P3_long_short_counter,3,-0.2582,0.64,-29.03,-3.43,False,invalid
S1_level,T2_roll_p50,P1_long_cash_pro,3,0.0683,1.04,-23.03,0.53,True,valid
S1_level,T2_roll_p50,P1_long_cash_counter,3,0.8693,1.04,-7.5,9.16,True,valid
S1_level,T2_roll_p50,P2_signal_strength_pro,3,0.6829,0.47,-10.79,6.78,True,valid
S1_level,T2_roll_p50,P2_signal_strength_counter,3,0.628,0.47,-5.78,2.9,True,valid
S1_level,T2_roll_p50,P3_long_short_pro,3,-0.6597,2.07,-61.13,-8.63,False,invalid
S1_level,T2_roll_p50,P3_long_short_counter,3,0.6597,2.07,-18.47,8.63,True,valid
S1_level,T2_roll_p75,P1_long_cash_pro,3,0.2427,0.54,-10.04,0.93,True,valid
S1_level,T2_roll_p75,P1_long_cash_counter,3,0.7004,0.54,-13.29,8.76,True,valid
S1_level,T2_roll_p75,P2_signal_strength_pro,3,0.6829,0.47,-10.79,6.78,True,valid
S1_level,T2_roll_p75,P2_signal_strength_counter,3,0.628,0.47,-5.78,2.9,True,valid
S1_level,T2_roll_p75,P3_long_short_pro,3,-0.5967,1.07,-53.98,-7.83,False,invalid
S1_level,T2_roll_p75,P3_long_short_counter,3,0.5967,1.07,-13.29,7.83,True,valid
S1_level,T3_zscore_1.0,P1_long_cash_pro,3,0.5554,0.32,-3.64,1.89,True,valid
S1_level,T3_zscore_1.0,P1_long_cash_counter,3,0.6151,0.32,-13.29,7.79,True,valid
S1_level,T3_zscore_1.0,P2_signal_strength_pro,3,0.6829,0.47,-10.79,6.78,True,valid
S1_level,T3_zscore_1.0,P2_signal_strength_counter,3,0.628,0.47,-5.78,2.9,True,valid
S1_level,T3_zscore_1.0,P3_long_short_pro,3,-0.4463,0.64,-50.71,-5.9,False,invalid
S1_level,T3_zscore_1.0,P3_long_short_counter,3,0.4463,0.64,-13.29,5.9,True,valid
S1_level,T3_zscore_neg_1.0,P1_long_cash_pro,3,0.3115,0.29,-5.5,1.51,True,valid
S1_level,T3_zscore_neg_1.0,P1_long_cash_counter,3,0.6716,0.29,-13.29,8.17,True,valid
S1_level,T3_zscore_neg_1.0,P2_signal_strength_pro,3,0.6829,0.47,-10.79,6.78,True,valid
S1_level,T3_zscore_neg_1.0,P2_signal_strength_counter,3,0.628,0.47,-5.78,2.9,True,valid
