signal,threshold,strategy,lead_days,oos_sharpe,oos_ann_return,max_drawdown,annual_turnover,oos_n,valid
spread_zscore_126d,T1_p25,P1,21,-0.0676,-0.83,-30.57,15.26,2088,False
spread_zscore_126d,T1_p25,P2,21,0.4649,6.31,-31.75,12.13,2088,True
spread_zscore_126d,T1_p25,P3,21,-0.8594,-16.4,-78.97,30.51,2088,False
spread_zscore_126d,T1_p50,P1,21,0.1044,1.61,-36.26,18.6,2088,True
spread_zscore_126d,T1_p50,P2,21,0.4649,6.31,-31.75,12.13,2088,True
spread_zscore_126d,T1_p50,P3,21,-0.6033,-11.52,-74.98,37.2,2088,False
spread_zscore_126d,T1_p75,P1,21,0.304,5.33,-39.31,16.64,2088,True
spread_zscore_126d,T1_p75,P2,21,0.4649,6.31,-31.75,12.13,2088,True
spread_zscore_126d,T1_p75,P3,21,-0.2143,-4.1,-58.28,33.27,2088,False
spread_zscore_126d,T2_rp25,P1,21,-0.0782,-0.97,-29.64,16.37,2088,False
spread_zscore_126d,T2_rp25,P2,21,0.4649,6.31,-31.75,12.13,2088,True
spread_zscore_126d,T2_rp25,P3,21,-0.8741,-16.68,-79.2,32.74,2088,False
spread_zscore_126d,T2_rp50,P1,21,0.0608,0.92,-39.48,20.54,2088,True
spread_zscore_126d,T2_rp50,P2,21,0.4649,6.31,-31.75,12.13,2088,True
spread_zscore_126d,T2_rp50,P3,21,-0.6758,-12.91,-74.18,41.08,2088,False
spread_zscore_126d,T2_rp75,P1,21,0.4495,7.74,-33.72,20.51,2088,True
spread_zscore_126d,T2_rp75,P2,21,0.4649,6.31,-31.75,12.13,2088,True
spread_zscore_126d,T2_rp75,P3,21,0.0377,0.72,-46.11,41.02,2088,False
spread_roc_21d,T1_p25,P1,0,0.4055,4.1,-19.89,24.85,2088,False
spread_roc_21d,T1_p25,P2,0,1.0558,11.89,-13.75,14.15,2088,True
spread_roc_21d,T1_p25,P3,0,-0.3423,-6.54,-63.83,49.7,2088,False
spread_roc_21d,T1_p50,P1,0,0.6656,8.07,-20.48,34.06,2088,False
spread_roc_21d,T1_p50,P2,0,1.0558,11.89,-13.75,14.15,2088,True
spread_roc_21d,T1_p50,P3,0,0.0725,1.39,-34.87,68.13,2088,False
spread_roc_21d,T1_p75,P1,0,0.8792,12.57,-19.57,26.08,2088,False
spread_roc_21d,T1_p75,P2,0,1.0558,11.89,-13.75,14.15,2088,True
spread_roc_21d,T1_p75,P3,0,0.5434,10.38,-25.55,52.17,2088,False
spread_roc_21d,T2_rp25,P1,0,0.0497,0.43,-22.98,24.26,2088,False
spread_roc_21d,T2_rp25,P2,0,1.0558,11.89,-13.75,14.15,2088,True
spread_roc_21d,T2_rp25,P3,0,-0.7275,-13.89,-80.34,48.53,2088,False
spread_roc_21d,T2_rp50,P1,0,0.5468,6.18,-21.78,32.54,2088,False
spread_roc_21d,T2_rp50,P2,0,1.0558,11.89,-13.75,14.15,2088,True
spread_roc_21d,T2_rp50,P3,0,-0.1247,-2.38,-53.86,65.08,2088,False
spread_roc_21d,T2_rp75,P1,0,0.909,13.17,-19.57,27.14,2088,False
spread_roc_21d,T2_rp75,P2,0,1.0558,11.89,-13.75,14.15,2088,True
spread_roc_21d,T2_rp75,P3,0,0.6067,11.59,-25.55,54.28,2088,False
