trade_id,entry_date,exit_date,direction,qty_pct,notional_usd,price_entry,holding_days,trade_return_pct,signal_code,threshold_code,strategy_code
123,2010-02-25,2010-02-26,Long,81.31,8130.62,82.81,1,0.05,S6_hmm_stress,T4_hmm_0.5,P2
124,2010-02-26,2010-04-26,Long,94.34,9434.3,82.86,59,9.96,S6_hmm_stress,T4_hmm_0.5,P2
125,2010-04-26,2010-04-27,Long,91.0,9100.24,91.17,1,-2.15,S6_hmm_stress,T4_hmm_0.5,P2
126,2010-04-27,2010-04-30,Long,24.76,2475.93,89.01,3,0.12,S6_hmm_stress,T4_hmm_0.5,P2
127,2010-04-30,2010-10-06,Long,6.84,684.18,89.26,159,0.02,S6_hmm_stress,T4_hmm_0.5,P2
128,2010-10-06,2010-10-07,Long,16.04,1603.75,88.06,1,-0.02,S6_hmm_stress,T4_hmm_0.5,P2
129,2010-10-07,2010-10-08,Long,35.37,3537.14,87.95,1,0.2,S6_hmm_stress,T4_hmm_0.5,P2
130,2010-10-08,2010-10-11,Long,66.86,6686.47,88.44,3,0.06,S6_hmm_stress,T4_hmm_0.5,P2
131,2010-10-11,2010-10-12,Long,91.52,9151.54,88.53,1,0.28,S6_hmm_stress,T4_hmm_0.5,P2
132,2010-10-12,2010-10-26,Long,97.02,9702.2,88.8,14,1.43,S6_hmm_stress,T4_hmm_0.5,P2
133,2010-10-26,2010-11-09,Long,90.5,9049.8,90.1,14,2.17,S6_hmm_stress,T4_hmm_0.5,P2
134,2010-11-09,2010-11-12,Long,87.04,8703.57,92.29,3,-0.92,S6_hmm_stress,T4_hmm_0.5,P2
135,2010-11-12,2010-11-15,Long,55.0,5500.34,91.22,3,-0.08,S6_hmm_stress,T4_hmm_0.5,P2
136,2010-11-15,2010-11-16,Long,19.86,1985.91,91.09,1,-0.31,S6_hmm_stress,T4_hmm_0.5,P2
137,2010-11-16,2010-12-02,Long,0.47,46.75,89.67,16,-0.01,S6_hmm_stress,T4_hmm_0.5,P2
138,2010-12-02,2010-12-03,Long,7.15,714.53,93.01,1,0.02,S6_hmm_stress,T4_hmm_0.5,P2
139,2010-12-03,2010-12-08,Long,14.17,1416.8,93.26,5,0.04,S6_hmm_stress,T4_hmm_0.5,P2
140,2010-12-08,2010-12-09,Long,85.06,8505.87,93.56,1,0.33,S6_hmm_stress,T4_hmm_0.5,P2
141,2010-12-09,2011-02-22,Long,98.46,9846.27,93.92,75,7.09,S6_hmm_stress,T4_hmm_0.5,P2
142,2011-02-22,2011-03-01,Long,90.92,9091.81,100.57,7,-0.61,S6_hmm_stress,T4_hmm_0.5,P2
143,2011-03-01,2011-03-07,Long,83.98,8398.21,99.89,6,0.41,S6_hmm_stress,T4_hmm_0.5,P2
144,2011-03-07,2011-03-08,Long,65.21,6521.3,100.27,1,0.57,S6_hmm_stress,T4_hmm_0.5,P2
145,2011-03-08,2011-03-09,Long,55.55,5554.53,101.15,1,-0.08,S6_hmm_stress,T4_hmm_0.5,P2
146,2011-03-09,2011-03-10,Long,38.19,3819.25,101.0,1,-0.71,S6_hmm_stress,T4_hmm_0.5,P2
147,2011-03-10,2011-03-14,Long,12.62,1262.16,99.13,4,0.03,S6_hmm_stress,T4_hmm_0.5,P2
148,2011-03-14,2011-03-21,Long,4.62,461.85,99.22,7,-0.05,S6_hmm_stress,T4_hmm_0.5,P2
149,2011-03-21,2011-03-22,Long,19.06,1906.2,99.41,1,-0.07,S6_hmm_stress,T4_hmm_0.5,P2
150,2011-03-22,2011-03-23,Long,66.78,6677.57,99.07,1,0.19,S6_hmm_stress,T4_hmm_0.5,P2
151,2011-03-23,2011-03-24,Long,91.98,9197.66,99.35,1,0.88,S6_hmm_stress,T4_hmm_0.5,P2
152,2011-03-24,2011-06-14,Long,98.09,9808.98,100.3,82,-1.25,S6_hmm_stress,T4_hmm_0.5,P2
153,2011-06-14,2011-06-15,Long,89.9,8989.96,99.09,1,-1.6,S6_hmm_stress,T4_hmm_0.5,P2
154,2011-06-15,2011-06-20,Long,78.91,7891.0,97.33,5,0.83,S6_hmm_stress,T4_hmm_0.5,P2
155,2011-06-20,2011-07-25,Long,92.86,9286.37,98.33,35,4.69,S6_hmm_stress,T4_hmm_0.5,P2
156,2011-07-25,2011-07-26,Long,89.43,8943.37,103.05,1,-0.33,S6_hmm_stress,T4_hmm_0.5,P2
157,2011-07-26,2011-07-27,Long,61.41,6141.38,102.67,1,-1.26,S6_hmm_stress,T4_hmm_0.5,P2
158,2011-07-27,2011-07-28,Long,6.89,688.71,100.57,1,-0.02,S6_hmm_stress,T4_hmm_0.5,P2
159,2011-07-28,2012-01-18,Long,0.38,37.65,100.27,174,0.24,S6_hmm_stress,T4_hmm_0.5,P2
160,2012-01-18,2012-01-19,Long,22.16,2215.88,101.86,1,0.12,S6_hmm_stress,T4_hmm_0.5,P2
161,2012-01-19,2012-01-20,Long,31.13,3113.19,102.4,1,0.12,S6_hmm_stress,T4_hmm_0.5,P2
