signal,threshold,strategy,signal_column,lead_days,oos_sharpe,max_drawdown,n_trades,valid,lead_source
S2a_zscore_252d,T3_z2.5,P2,hy_ig_zscore_252d,1,1.084,-0.212825,624,True,pipeline
S2a_zscore_252d,T3_z2.5,P3,hy_ig_zscore_252d,1,0.8354,-0.402838,61,True,pipeline
S2a_zscore_252d,T1_p75,P1,hy_ig_zscore_252d,5,0.5743,-0.29273,165,True,pipeline
S2a_zscore_252d,T1_p75,P2,hy_ig_zscore_252d,5,1.0226,-0.208461,624,True,pipeline
S2a_zscore_252d,T1_p85,P1,hy_ig_zscore_252d,5,0.8371,-0.31967,101,True,pipeline
S2a_zscore_252d,T1_p85,P2,hy_ig_zscore_252d,5,1.0226,-0.208461,624,True,pipeline
S2a_zscore_252d,T1_p85,P3,hy_ig_zscore_252d,5,0.4141,-0.432224,101,True,pipeline
S2a_zscore_252d,T1_p95,P1,hy_ig_zscore_252d,5,0.8597,-0.325474,83,True,pipeline
S2a_zscore_252d,T1_p95,P2,hy_ig_zscore_252d,5,1.0226,-0.208461,624,True,pipeline
S2a_zscore_252d,T1_p95,P3,hy_ig_zscore_252d,5,0.6114,-0.402553,83,True,pipeline
S2a_zscore_252d,T2_rp75,P1,hy_ig_zscore_252d,5,0.8812,-0.155822,173,True,pipeline
S2a_zscore_252d,T2_rp75,P2,hy_ig_zscore_252d,5,1.0226,-0.208461,624,True,pipeline
S2a_zscore_252d,T2_rp75,P3,hy_ig_zscore_252d,5,0.2988,-0.361992,173,True,pipeline
S2a_zscore_252d,T2_rp85,P1,hy_ig_zscore_252d,5,0.8302,-0.332975,167,True,pipeline
S2a_zscore_252d,T2_rp85,P2,hy_ig_zscore_252d,5,1.0226,-0.208461,624,True,pipeline
S2a_zscore_252d,T2_rp85,P3,hy_ig_zscore_252d,5,0.3507,-0.426285,167,True,pipeline
S2a_zscore_252d,T2_rp95,P1,hy_ig_zscore_252d,5,1.1653,-0.236756,99,True,pipeline
S2a_zscore_252d,T2_rp95,P2,hy_ig_zscore_252d,5,1.0226,-0.208461,624,True,pipeline
S2a_zscore_252d,T2_rp95,P3,hy_ig_zscore_252d,5,1.0219,-0.237994,99,True,pipeline
S2a_zscore_252d,T3_z1.5,P1,hy_ig_zscore_252d,5,1.0111,-0.242014,107,True,pipeline
S2a_zscore_252d,T3_z1.5,P2,hy_ig_zscore_252d,5,1.0226,-0.208461,624,True,pipeline
S2a_zscore_252d,T3_z1.5,P3,hy_ig_zscore_252d,5,0.695,-0.254482,107,True,pipeline
S2a_zscore_252d,T3_z2.0,P1,hy_ig_zscore_252d,5,1.0052,-0.287975,75,True,pipeline
